computers_accessories price,computers_accessories,telephony  price,telephony,electronics price,electronics,computers price,computers
"81,7",1,,,,,,
"61,34",2,,,,,,
"178,99",1,,,,,,
"32,66",1,,,,,,
"35,9",10,,,,,,
"186,98",6,,,,,,
2951,1,,,,,,
"119,59",1,,,,,,
"104,4",1,,,,,,
"100,9",3,,,,,,
"34,95",2,,,,,,
"958,99",2,,,,,,
1999,2,,,,,,
"60,2",2,,,,,,
"23,48",18,,,,,,
"379,89",1,,,,,,
"214,6",1,,,,,,
"189,98",2,,,,,,
"189,97",1,,,,,,
"95,5",1,,,,,,
"97,52",1,,,,,,
"26,99",2,,,,,,
"125,9",1,,,,,,
539,4,,,,,,
1260,4,,,,,,
"69,49",2,,,,,,
"74,5",1,,,,,,
"199,89",2,,,,,,
"223,87",2,,,,,,
"297,9",1,,,,,,
"189,89",6,,,,,,
"50,2",10,,,,,,
"95,9",1,,,,,,
"40,52",1,,,,,,
"86,5",3,,,,,,
"19,5",2,,,,,,
"197,5",15,,,,,,
"379,9",1,,,,,,
228,1,,,,,,
"176,9",4,,,,,,
499,3,,,,,,
"50,89",1,,,,,,
175,5,,,,,,
287,1,,,,,,
"125,6",1,,,,,,
219,6,,,,,,
96,1,,,,,,
359,1,,,,,,
91,3,,,,,,
"95,99",2,,,,,,
23,1,,,,,,
"150,9",1,,,,,,
"422,01",1,,,,,,
229,2,,,,,,
"113,99",1,,,,,,
"5,99",1,,,,,,
"140,99",2,,,,,,
"118,9",1,,,,,,
"110,9",3,,,,,,
"189,88",2,,,,,,
"66,99",1,,,,,,
"70,9",8,,,,,,
"57,52",9,,,,,,
"70,89",3,,,,,,
"45,65",10,,,,,,
"64,8",1,,,,,,
"101,9",1,,,,,,
"261,91",1,,,,,,
"249,4",2,,,,,,
"79,79",4,,,,,,
"64,99",14,,,,,,
"165,2",2,,,,,,
"173,2",1,,,,,,
64,3,,,,,,
"46,94",1,,,,,,
"799,9",1,,,,,,
"3,9",2,,,,,,
"513,9",1,,,,,,
"60,9",2,,,,,,
"54,85",4,,,,,,
"184,79",3,,,,,,
"41,56",2,,,,,,
"75,89",2,,,,,,
"25,3",1,,,,,,
"1011,86",1,,,,,,
"264,29",1,,,,,,
"296,72",1,,,,,,
"301,17",1,,,,,,
"337,18",1,,,,,,
"96,99",1,,,,,,
"32,4",1,,,,,,
"160,9",2,,,,,,
"38,8",2,,,,,,
"553,68",2,,,,,,
157,1,,,,,,
260,1,,,,,,
708,2,,,,,,
"240,35",8,,,,,,
498,1,,,,,,
215,1,,,,,,
249,5,,,,,,
"67,99",33,,,,,,
"74,99",11,,,,,,
"238,64",1,,,,,,
"33,85",5,,,,,,
"39,45",1,,,,,,
"179,99",10,,,,,,
